# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -2.442768e+01    -3.964434e+00
1.007705e+02    -2.449012e+01    -3.971251e+00
1.015469e+02    -2.455280e+01    -3.977946e+00
1.023293e+02    -2.461572e+01    -3.984519e+00
1.031177e+02    -2.467886e+01    -3.990970e+00
1.039122e+02    -2.474222e+01    -3.997298e+00
1.047129e+02    -2.480584e+01    -4.003505e+00
1.055196e+02    -2.486973e+01    -4.009588e+00
1.063327e+02    -2.493395e+01    -4.015547e+00
1.071519e+02    -2.499853e+01    -4.021379e+00
1.079775e+02    -2.506351e+01    -4.027083e+00
1.088095e+02    -2.512892e+01    -4.032655e+00
1.096478e+02    -2.519478e+01    -4.038093e+00
1.104926e+02    -2.526108e+01    -4.043395e+00
1.113440e+02    -2.532779e+01    -4.048560e+00
1.122018e+02    -2.539489e+01    -4.053586e+00
1.130663e+02    -2.546231e+01    -4.058474e+00
1.139375e+02    -2.553002e+01    -4.063224e+00
1.148154e+02    -2.559797e+01    -4.067835e+00
1.157000e+02    -2.566616e+01    -4.072310e+00
1.165914e+02    -2.573458e+01    -4.076647e+00
1.174898e+02    -2.580328e+01    -4.080846e+00
1.183950e+02    -2.587230e+01    -4.084904e+00
1.193072e+02    -2.594171e+01    -4.088820e+00
1.202264e+02    -2.601157e+01    -4.092590e+00
1.211528e+02    -2.608195e+01    -4.096210e+00
1.220862e+02    -2.615286e+01    -4.099676e+00
1.230269e+02    -2.622431e+01    -4.102985e+00
1.239748e+02    -2.629626e+01    -4.106136e+00
1.249300e+02    -2.636865e+01    -4.109127e+00
1.258925e+02    -2.644140e+01    -4.111959e+00
1.268625e+02    -2.651445e+01    -4.114633e+00
1.278400e+02    -2.658775e+01    -4.117147e+00
1.288250e+02    -2.666128e+01    -4.119504e+00
1.298175e+02    -2.673508e+01    -4.121700e+00
1.308177e+02    -2.680922e+01    -4.123734e+00
1.318257e+02    -2.688379e+01    -4.125600e+00
1.328414e+02    -2.695891e+01    -4.127293e+00
1.338649e+02    -2.703464e+01    -4.128809e+00
1.348963e+02    -2.711103e+01    -4.130142e+00
1.359356e+02    -2.718805e+01    -4.131289e+00
1.369830e+02    -2.726563e+01    -4.132247e+00
1.380384e+02    -2.734368e+01    -4.133018e+00
1.391020e+02    -2.742207e+01    -4.133601e+00
1.401737e+02    -2.750073e+01    -4.133997e+00
1.412538e+02    -2.757960e+01    -4.134205e+00
1.423421e+02    -2.765874e+01    -4.134223e+00
1.434388e+02    -2.773824e+01    -4.134046e+00
1.445440e+02    -2.781824e+01    -4.133668e+00
1.456577e+02    -2.789889e+01    -4.133081e+00
1.467799e+02    -2.798029e+01    -4.132278e+00
1.479108e+02    -2.806246e+01    -4.131254e+00
1.490505e+02    -2.814534e+01    -4.130006e+00
1.501989e+02    -2.822880e+01    -4.128534e+00
1.513561e+02    -2.831268e+01    -4.126839e+00
1.525223e+02    -2.839681e+01    -4.124921e+00
1.536975e+02    -2.848113e+01    -4.122781e+00
1.548817e+02    -2.856568e+01    -4.120414e+00
1.560750e+02    -2.865059e+01    -4.117813e+00
1.572775e+02    -2.873607e+01    -4.114970e+00
1.584893e+02    -2.882231e+01    -4.111876e+00
1.597104e+02    -2.890944e+01    -4.108522e+00
1.609410e+02    -2.899746e+01    -4.104905e+00
1.621810e+02    -2.908622e+01    -4.101024e+00
1.634306e+02    -2.917549e+01    -4.096882e+00
1.646898e+02    -2.926504e+01    -4.092480e+00
1.659587e+02    -2.935472e+01    -4.087818e+00
1.672374e+02    -2.944453e+01    -4.082893e+00
1.685259e+02    -2.953465e+01    -4.077696e+00
1.698244e+02    -2.962534e+01    -4.072216e+00
1.711328e+02    -2.971690e+01    -4.066443e+00
1.724514e+02    -2.980947e+01    -4.060370e+00
1.737801e+02    -2.990302e+01    -4.053996e+00
1.751190e+02    -2.999731e+01    -4.047322e+00
1.764683e+02    -3.009200e+01    -4.040354e+00
1.778279e+02    -3.018679e+01    -4.033095e+00
1.791981e+02    -3.028156e+01    -4.025543e+00
1.805788e+02    -3.037644e+01    -4.017689e+00
1.819701e+02    -3.047176e+01    -4.009521e+00
1.833721e+02    -3.056794e+01    -4.001028e+00
1.847850e+02    -3.066522e+01    -3.992204e+00
1.862087e+02    -3.076361e+01    -3.983049e+00
1.876434e+02    -3.086279e+01    -3.973570e+00
1.890892e+02    -3.096230e+01    -3.963773e+00
1.905461e+02    -3.106172e+01    -3.953665e+00
1.920142e+02    -3.116093e+01    -3.943240e+00
1.934936e+02    -3.126017e+01    -3.932488e+00
1.949845e+02    -3.135996e+01    -3.921395e+00
1.964868e+02    -3.146078e+01    -3.909954e+00
1.980007e+02    -3.156288e+01    -3.898164e+00
1.995262e+02    -3.166602e+01    -3.886033e+00
2.010635e+02    -3.176962e+01    -3.873574e+00
2.026127e+02    -3.187307e+01    -3.860795e+00
2.041738e+02    -3.197604e+01    -3.847694e+00
2.057469e+02    -3.207874e+01    -3.834262e+00
2.073322e+02    -3.218181e+01    -3.820483e+00
2.089296e+02    -3.228595e+01    -3.806350e+00
2.105394e+02    -3.239148e+01    -3.791867e+00
2.121615e+02    -3.249808e+01    -3.777049e+00
2.137962e+02    -3.260496e+01    -3.761913e+00
2.154435e+02    -3.271132e+01    -3.746466e+00
2.171034e+02    -3.281687e+01    -3.730705e+00
2.187762e+02    -3.292207e+01    -3.714613e+00
2.204618e+02    -3.302785e+01    -3.698180e+00
2.221604e+02    -3.313500e+01    -3.681404e+00
2.238721e+02    -3.324358e+01    -3.664304e+00
2.255970e+02    -3.335279e+01    -3.646900e+00
2.273352e+02    -3.346148e+01    -3.629208e+00
2.290868e+02    -3.356896e+01    -3.611227e+00
2.308518e+02    -3.367555e+01    -3.592940e+00
2.326305e+02    -3.378238e+01    -3.574333e+00
2.344229e+02    -3.389058e+01    -3.555408e+00
2.362291e+02    -3.400038e+01    -3.536187e+00
2.380492e+02    -3.411080e+01    -3.516696e+00
2.398833e+02    -3.422037e+01    -3.496952e+00
2.417315e+02    -3.432822e+01    -3.476950e+00
2.435940e+02    -3.443489e+01    -3.456669e+00
2.454709e+02    -3.454193e+01    -3.436098e+00
2.473622e+02    -3.465064e+01    -3.415248e+00
2.492681e+02    -3.476090e+01    -3.394151e+00
2.511886e+02    -3.487111e+01    -3.372835e+00
2.531240e+02    -3.497949e+01    -3.351308e+00
2.550743e+02    -3.508566e+01    -3.329549e+00
2.570396e+02    -3.519106e+01    -3.307539e+00
2.590200e+02    -3.529775e+01    -3.285280e+00
2.610157e+02    -3.540643e+01    -3.262805e+00
2.630268e+02    -3.551567e+01    -3.240151e+00
2.650534e+02    -3.562304e+01    -3.217332e+00
2.670956e+02    -3.572745e+01    -3.194326e+00
2.691535e+02    -3.583028e+01    -3.171107e+00
2.712273e+02    -3.593418e+01    -3.147678e+00
2.733170e+02    -3.604035e+01    -3.124075e+00
2.754229e+02    -3.614714e+01    -3.100342e+00
2.775450e+02    -3.625151e+01    -3.076487e+00
2.796834e+02    -3.635219e+01    -3.052482e+00
2.818383e+02    -3.645111e+01    -3.028298e+00
2.840098e+02    -3.655154e+01    -3.003948e+00
2.861980e+02    -3.665440e+01    -2.979482e+00
2.884032e+02    -3.675700e+01    -2.954937e+00
2.906252e+02    -3.685580e+01    -2.930305e+00
2.928645e+02    -3.695042e+01    -2.905543e+00
2.951209e+02    -3.704434e+01    -2.880637e+00
2.973948e+02    -3.714088e+01    -2.855626e+00
2.996861e+02    -3.723912e+01    -2.830566e+00
3.019952e+02    -3.733459e+01    -2.805468e+00
3.043220e+02    -3.742457e+01    -2.780291e+00
3.066667e+02    -3.751160e+01    -2.754999e+00
3.090295e+02    -3.760058e+01    -2.729618e+00
3.114106e+02    -3.769242e+01    -2.704215e+00
3.138099e+02    -3.778243e+01    -2.678815e+00
3.162278e+02    -3.786615e+01    -2.653375e+00
3.186642e+02    -3.794533e+01    -2.627847e+00
3.211195e+02    -3.802594e+01    -2.602253e+00
3.235937e+02    -3.810999e+01    -2.576669e+00
3.260869e+02    -3.819231e+01    -2.551121e+00
3.285993e+02    -3.826730e+01    -2.525557e+00
3.311311e+02    -3.833700e+01    -2.499923e+00
3.336824e+02    -3.840856e+01    -2.474255e+00
3.362534e+02    -3.848373e+01    -2.448637e+00
3.388442e+02    -3.855574e+01    -2.423078e+00
3.414549e+02    -3.861891e+01    -2.397505e+00
3.440857e+02    -3.867749e+01    -2.371878e+00
3.467369e+02    -3.873954e+01    -2.346265e+00
3.494084e+02    -3.880415e+01    -2.320744e+00
3.521005e+02    -3.886214e+01    -2.295281e+00
3.548134e+02    -3.891036e+01    -2.269785e+00
3.575472e+02    -3.895725e+01    -2.244268e+00
3.603020e+02    -3.900921e+01    -2.218834e+00
3.630781e+02    -3.905942e+01    -2.193509e+00
3.658755e+02    -3.909846e+01    -2.168198e+00
3.686945e+02    -3.913050e+01    -2.142850e+00
3.715352e+02    -3.916659e+01    -2.117559e+00
3.743978e+02    -3.920509e+01    -2.092404e+00
3.772825e+02    -3.923360e+01    -2.067307e+00
3.801894e+02    -3.925082e+01    -2.042172e+00
3.831187e+02    -3.926947e+01    -2.017071e+00
3.860705e+02    -3.929294e+01    -1.992119e+00
3.890451e+02    -3.930797e+01    -1.967253e+00
3.920427e+02    -3.930894e+01    -1.942350e+00
3.950633e+02    -3.930905e+01    -1.917468e+00
3.981072e+02    -3.931504e+01    -1.892744e+00
4.011745e+02    -3.931296e+01    -1.868117e+00
4.042655e+02    -3.929490e+01    -1.843443e+00
4.073803e+02    -3.927520e+01    -1.818792e+00
4.105191e+02    -3.926158e+01    -1.794311e+00
4.136820e+02    -3.923816e+01    -1.769910e+00
4.168694e+02    -3.919747e+01    -1.745443e+00
4.200813e+02    -3.915652e+01    -1.721021e+00
4.233179e+02    -3.912063e+01    -1.696778e+00
4.265795e+02    -3.907064e+01    -1.672564e+00
4.298662e+02    -3.900375e+01    -1.648265e+00
4.331783e+02    -3.894004e+01    -1.624060e+00
4.365158e+02    -3.887733e+01    -1.600016e+00
4.398791e+02    -3.879449e+01    -1.575911e+00
4.432683e+02    -3.869906e+01    -1.551737e+00
4.466836e+02    -3.861000e+01    -1.527721e+00
4.501252e+02    -3.851244e+01    -1.503772e+00
4.535933e+02    -3.839112e+01    -1.479670e+00
4.570882e+02    -3.826653e+01    -1.455592e+00
4.606100e+02    -3.814507e+01    -1.431671e+00
4.641589e+02    -3.800169e+01    -1.407632e+00
4.677351e+02    -3.784040e+01    -1.383452e+00
4.713390e+02    -3.768387e+01    -1.359412e+00
4.749705e+02    -3.751488e+01    -1.335344e+00
4.786301e+02    -3.731820e+01    -1.311017e+00
