# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -2.857880e+00    -1.027947e+01
1.007705e+02    -2.859166e+00    -1.026630e+01
1.015469e+02    -2.860471e+00    -1.025298e+01
1.023293e+02    -2.861796e+00    -1.023950e+01
1.031177e+02    -2.863140e+00    -1.022587e+01
1.039122e+02    -2.864505e+00    -1.021208e+01
1.047129e+02    -2.865890e+00    -1.019813e+01
1.055196e+02    -2.867297e+00    -1.018402e+01
1.063327e+02    -2.868724e+00    -1.016975e+01
1.071519e+02    -2.870173e+00    -1.015531e+01
1.079775e+02    -2.871643e+00    -1.014072e+01
1.088095e+02    -2.873136e+00    -1.012596e+01
1.096478e+02    -2.874651e+00    -1.011103e+01
1.104926e+02    -2.876189e+00    -1.009594e+01
1.113440e+02    -2.877749e+00    -1.008068e+01
1.122018e+02    -2.879334e+00    -1.006526e+01
1.130663e+02    -2.880941e+00    -1.004966e+01
1.139375e+02    -2.882573e+00    -1.003389e+01
1.148154e+02    -2.884230e+00    -1.001795e+01
1.157000e+02    -2.885911e+00    -1.000184e+01
1.165914e+02    -2.887617e+00    -9.985555e+00
1.174898e+02    -2.889349e+00    -9.969095e+00
1.183950e+02    -2.891107e+00    -9.952459e+00
1.193072e+02    -2.892891e+00    -9.935647e+00
1.202264e+02    -2.894701e+00    -9.918658e+00
1.211528e+02    -2.896538e+00    -9.901490e+00
1.220862e+02    -2.898403e+00    -9.884143e+00
1.230269e+02    -2.900296e+00    -9.866615e+00
1.239748e+02    -2.902217e+00    -9.848906e+00
1.249300e+02    -2.904166e+00    -9.831016e+00
1.258925e+02    -2.906144e+00    -9.812943e+00
1.268625e+02    -2.908152e+00    -9.794686e+00
1.278400e+02    -2.910190e+00    -9.776244e+00
1.288250e+02    -2.912257e+00    -9.757618e+00
1.298175e+02    -2.914356e+00    -9.738806e+00
1.308177e+02    -2.916485e+00    -9.719807e+00
1.318257e+02    -2.918646e+00    -9.700620e+00
1.328414e+02    -2.920839e+00    -9.681246e+00
1.338649e+02    -2.923065e+00    -9.661683e+00
1.348963e+02    -2.925323e+00    -9.641931e+00
1.359356e+02    -2.927614e+00    -9.621989e+00
1.369830e+02    -2.929940e+00    -9.601856e+00
1.380384e+02    -2.932300e+00    -9.581532e+00
1.391020e+02    -2.934694e+00    -9.561017e+00
1.401737e+02    -2.937124e+00    -9.540310e+00
1.412538e+02    -2.939589e+00    -9.519410e+00
1.423421e+02    -2.942091e+00    -9.498317e+00
1.434388e+02    -2.944630e+00    -9.477031e+00
1.445440e+02    -2.947205e+00    -9.455551e+00
1.456577e+02    -2.949819e+00    -9.433877e+00
1.467799e+02    -2.952471e+00    -9.412009e+00
1.479108e+02    -2.955161e+00    -9.389945e+00
1.490505e+02    -2.957891e+00    -9.367687e+00
1.501989e+02    -2.960661e+00    -9.345233e+00
1.513561e+02    -2.963472e+00    -9.322584e+00
1.525223e+02    -2.966323e+00    -9.299739e+00
1.536975e+02    -2.969216e+00    -9.276699e+00
1.548817e+02    -2.972151e+00    -9.253462e+00
1.560750e+02    -2.975129e+00    -9.230030e+00
1.572775e+02    -2.978150e+00    -9.206401e+00
1.584893e+02    -2.981215e+00    -9.182577e+00
1.597104e+02    -2.984324e+00    -9.158556e+00
1.609410e+02    -2.987479e+00    -9.134340e+00
1.621810e+02    -2.990679e+00    -9.109928e+00
1.634306e+02    -2.993926e+00    -9.085320e+00
1.646898e+02    -2.997219e+00    -9.060516e+00
1.659587e+02    -3.000560e+00    -9.035517e+00
1.672374e+02    -3.003949e+00    -9.010324e+00
1.685259e+02    -3.007387e+00    -8.984935e+00
1.698244e+02    -3.010875e+00    -8.959352e+00
1.711328e+02    -3.014412e+00    -8.933575e+00
1.724514e+02    -3.018001e+00    -8.907604e+00
1.737801e+02    -3.021640e+00    -8.881440e+00
1.751190e+02    -3.025332e+00    -8.855084e+00
1.764683e+02    -3.029077e+00    -8.828534e+00
1.778279e+02    -3.032876e+00    -8.801794e+00
1.791981e+02    -3.036728e+00    -8.774862e+00
1.805788e+02    -3.040636e+00    -8.747739e+00
1.819701e+02    -3.044599e+00    -8.720427e+00
1.833721e+02    -3.048618e+00    -8.692926e+00
1.847850e+02    -3.052695e+00    -8.665236e+00
1.862087e+02    -3.056830e+00    -8.637358e+00
1.876434e+02    -3.061023e+00    -8.609294e+00
1.890892e+02    -3.065275e+00    -8.581044e+00
1.905461e+02    -3.069588e+00    -8.552609e+00
1.920142e+02    -3.073961e+00    -8.523990e+00
1.934936e+02    -3.078396e+00    -8.495188e+00
1.949845e+02    -3.082893e+00    -8.466204e+00
1.964868e+02    -3.087454e+00    -8.437039e+00
1.980007e+02    -3.092078e+00    -8.407694e+00
1.995262e+02    -3.096768e+00    -8.378170e+00
2.010635e+02    -3.101523e+00    -8.348469e+00
2.026127e+02    -3.106344e+00    -8.318591e+00
2.041738e+02    -3.111232e+00    -8.288538e+00
2.057469e+02    -3.116189e+00    -8.258312e+00
2.073322e+02    -3.121215e+00    -8.227913e+00
2.089296e+02    -3.126310e+00    -8.197344e+00
2.105394e+02    -3.131476e+00    -8.166604e+00
2.121615e+02    -3.136713e+00    -8.135697e+00
2.137962e+02    -3.142023e+00    -8.104623e+00
2.154435e+02    -3.147406e+00    -8.073384e+00
2.171034e+02    -3.152863e+00    -8.041981e+00
2.187762e+02    -3.158395e+00    -8.010417e+00
2.204618e+02    -3.164003e+00    -7.978692e+00
2.221604e+02    -3.169687e+00    -7.946809e+00
2.238721e+02    -3.175449e+00    -7.914769e+00
2.255970e+02    -3.181290e+00    -7.882574e+00
2.273352e+02    -3.187211e+00    -7.850226e+00
2.290868e+02    -3.193211e+00    -7.817727e+00
2.308518e+02    -3.199294e+00    -7.785078e+00
2.326305e+02    -3.205458e+00    -7.752281e+00
2.344229e+02    -3.211706e+00    -7.719339e+00
2.362291e+02    -3.218038e+00    -7.686253e+00
2.380492e+02    -3.224455e+00    -7.653026e+00
2.398833e+02    -3.230958e+00    -7.619659e+00
2.417315e+02    -3.237548e+00    -7.586154e+00
2.435940e+02    -3.244227e+00    -7.552515e+00
2.454709e+02    -3.250994e+00    -7.518742e+00
2.473622e+02    -3.257852e+00    -7.484838e+00
2.492681e+02    -3.264800e+00    -7.450805e+00
2.511886e+02    -3.271841e+00    -7.416646e+00
2.531240e+02    -3.278974e+00    -7.382362e+00
2.550743e+02    -3.286202e+00    -7.347957e+00
2.570396e+02    -3.293524e+00    -7.313432e+00
2.590200e+02    -3.300943e+00    -7.278790e+00
2.610157e+02    -3.308459e+00    -7.244033e+00
